Contract ID,Vendor Name,Start Date,End Date,Services Provided,Annual Spend,Features,Software Provided,Category,Preferred Vendor,Historical Spend,Exclusivity,Engagement Terms,Supported BSLs
C001,SirionLabs,2023-01-01,2025-12-31,Contract management for legal teams,"$20,000","AI analytics, Contract lifecycle",ContractHub,Contract Management,Yes,"$40,000",No,Full lifecycle management,"Legal, Finance"
C002,Evisort,2023-02-01,2024-01-31,AI-driven contract analysis,"$18,000","Data extraction, Compliance tracking",Evisort Analytics,Data Analytics,No,"$36,000",Yes,Data-driven contract management,Legal
C003,DocuSign,2023-03-01,2025-02-28,Digital signature and workflow management,"$12,000","Secure signature, Integration",DocuSign Platform,Document Management,Yes,"$24,000",No,Digital signing and workflow,All Departments
C004,Icertis,2022-07-01,2024-06-30,Enterprise contract management,"$25,000","Compliance, Contract authoring",Icertis Management,Contract Management,Yes,"$50,000",No,Enterprise-wide contract management,"Operations, Legal"
C005,Concord,2023-05-01,2024-04-30,End-to-end contract lifecycle management,"$30,000","Automated workflows, Collaboration",Concord Suite,Contract Management,No,"$60,000",No,Comprehensive contract management,Business
C006,Agiloft,2022-11-01,2024-10-31,Customizable contract management,"$22,000","Configurable workflows, Analytics",Agiloft Contract,Contract Management,No,"$44,000",No,Custom contract solutions,"Legal, IT"
C007,CobbleStone,2023-01-15,2025-01-14,Legal document management,"$17,000","AI compliance, Document assembly",CobbleStone Legal,Legal Management,Yes,"$34,000",No,Legal document handling,Legal
C008,Kira Systems,2023-08-01,2024-07-31,Machine learning contract analysis,"$19,000","Machine learning, Contract review",Kira QuickSearch,Data Analytics,No,"$38,000",No,AI-enhanced document review,Legal
C009,Onit,2023-04-01,2025-03-31,Workflow automation for legal operations,"$21,000","Process automation, Management",Onit Process Manager,Legal Management,Yes,"$42,000",Yes,Streamlined legal processes,"Legal, HR"
C010,LinkSquares,2023-06-01,2024-05-31,AI-based contract analytics,"$20,000","Full-text search, Smart tagging",LinkSquares Analyze,Legal Management,No,"$40,000",No,Advanced contract analysis,Legal
C011,HighQ,2023-03-15,2025-03-14,Collaborative contract management,"$14,000","Collaboration tools, Sharing",HighQ Collaborate,Collaboration,Yes,"$28,000",No,Collaborative project management,All Departments
C012,LexisNexis,2023-02-01,2024-01-31,Legal research and contract drafting,"$16,000","Advanced search, Compliance",LexisNexis Tools,Legal Research,Yes,"$32,000",No,Legal research support,"Legal, Research"
C013,Thomson Reuters,2023-05-01,2025-04-30,Contract automation and analytics,"$15,000","Market analytics, Templates",TR Legal Solutions,Legal Management,No,"$30,000",No,Data-driven legal insights,"Legal, Business"
C014,ContractWorks,2022-09-01,2024-08-31,Simple contract management solutions,"$10,000","Signature tracking, Storage",ContractWorks Software,Contract Management,No,"$20,000",No,Simplified contract management,Small Business
C015,PandaDoc,2023-07-01,2024-06-30,Document automation and eSignature,"$13,000","Electronic signatures, Templates",PandaDoc Suite,Document Management,Yes,"$26,000",No,Automated document handling,"Sales, Marketing"
C016,Zycus,2023-10-01,2025-09-30,Procurement and contract lifecycle management,"$19,000","Spend analysis, Compliance",Zycus Procure,Procurement Management,No,"$38,000",No,Procurement optimization,Procurement
C017,Seal Software,2023-11-01,2024-10-31,Contract discovery and analytics,"$20,000","AI document analysis, Migration",Seal Discovery,Data Analytics,No,"$40,000",No,AI-powered contract analysis,Legal
C018,ContractRoom,2023-04-15,2025-04-14,Collaborative contracting and negotiation,"$17,000","Live editing, Agreement builder",ContractRoom Negotiate,Contract Management,No,"$34,000",No,Interactive contract negotiation,"Business, Legal"
C019,Mitratech,2023-08-01,2024-07-31,Enterprise legal management,"$25,000","Policy management, Legal hold",TeamConnect,Legal Management,Yes,"$50,000",No,Comprehensive legal operations management,"Legal, Compliance"
C020,Precisely,2023-12-01,2025-11-30,Contract creation and storage,"$18,000","Cloud storage, Lifecycle management",Precisely Contracts,Contract Management,No,"$36,000",No,Secure cloud-based contract storage,Business
